,상품군별(1),운영형태별(1),날짜,거래액
224,음식서비스,온라인 전용몰,2017.05,185985
225,음식서비스,온·오프라인 병행몰,2017.05,24580
226,기타서비스,온라인 전용몰,2017.05,30141
227,기타서비스,온·오프라인 병행몰,2017.05,13350
228,기타,온라인 전용몰,2017.05,148125
229,기타,온·오프라인 병행몰,2017.05,16392
230,컴퓨터 및 주변기기,온라인 전용몰,2017.06,305461
231,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.06,71258
232,가전·전자·통신기기,온라인 전용몰,2017.06,584944
233,가전·전자·통신기기,온·오프라인 병행몰,2017.06,167530
234,서적,온라인 전용몰,2017.06,35106
235,서적,온·오프라인 병행몰,2017.06,81166
236,사무·문구,온라인 전용몰,2017.06,42211
237,사무·문구,온·오프라인 병행몰,2017.06,13759
238,의복,온라인 전용몰,2017.06,684739
239,의복,온·오프라인 병행몰,2017.06,225003
240,신발,온라인 전용몰,2017.06,113217
241,신발,온·오프라인 병행몰,2017.06,42943
242,가방,온라인 전용몰,2017.06,104729
243,가방,온·오프라인 병행몰,2017.06,44713
244,패션용품 및 액세서리,온라인 전용몰,2017.06,98506
245,패션용품 및 액세서리,온·오프라인 병행몰,2017.06,64319
246,스포츠·레저용품,온라인 전용몰,2017.06,237976
247,스포츠·레저용품,온·오프라인 병행몰,2017.06,51093
248,화장품,온라인 전용몰,2017.06,259977
249,화장품,온·오프라인 병행몰,2017.06,392556
250,아동·유아용품,온라인 전용몰,2017.06,221990
251,아동·유아용품,온·오프라인 병행몰,2017.06,37079
252,음·식료품,온라인 전용몰,2017.06,404096
253,음·식료품,온·오프라인 병행몰,2017.06,237497
254,농축수산물,온라인 전용몰,2017.06,100678
255,농축수산물,온·오프라인 병행몰,2017.06,80170
256,생활용품,온라인 전용몰,2017.06,454135
257,생활용품,온·오프라인 병행몰,2017.06,143108
258,자동차 및 자동차용품,온라인 전용몰,2017.06,77583
259,자동차 및 자동차용품,온·오프라인 병행몰,2017.06,10608
260,가구,온라인 전용몰,2017.06,137628
